,from_addr,block_date,block_number,approx_value
3,a00b8e85ee5d36c60a6dbaca6ae572cd8665ef0a81d88ac68f3541b1e36a66ab,2018-05-23,74,128.82563462853432
9,a0219e582ed70748147d4274a34a5ab548a796ad2da3a9eed9441813be18dbee,2018-05-03,1,0.20000000298023224
10,a025915055b523283574df53d1fd15afd3cd1c5b48c320816c782122c42838c9,2018-04-29,137,60.10489562935982
11,a025915055b523283574df53d1fd15afd3cd1c5b48c320816c782122c42838c9,2018-04-30,247,109.46143846935593
12,a025915055b523283574df53d1fd15afd3cd1c5b48c320816c782122c42838c9,2018-05-01,223,97.93400004296564
13,a025915055b523283574df53d1fd15afd3cd1c5b48c320816c782122c42838c9,2018-05-02,133,60.567748180706985
14,a025915055b523283574df53d1fd15afd3cd1c5b48c320816c782122c42838c9,2018-05-03,195,93.90253971039783
15,a025915055b523283574df53d1fd15afd3cd1c5b48c320816c782122c42838c9,2018-05-04,224,113.1562590606045
16,a025915055b523283574df53d1fd15afd3cd1c5b48c320816c782122c42838c9,2018-05-05,156,76.79241284658201
17,a025915055b523283574df53d1fd15afd3cd1c5b48c320816c782122c42838c9,2018-05-06,629,326.8552207394969
18,a025915055b523283574df53d1fd15afd3cd1c5b48c320816c782122c42838c9,2018-05-07,599,324.633075280115
19,a025915055b523283574df53d1fd15afd3cd1c5b48c320816c782122c42838c9,2018-05-08,546,299.57293449155986
20,a025915055b523283574df53d1fd15afd3cd1c5b48c320816c782122c42838c9,2018-05-09,410,229.94561892189085
21,a025915055b523283574df53d1fd15afd3cd1c5b48c320816c782122c42838c9,2018-05-10,329,188.72959179244936
22,a025915055b523283574df53d1fd15afd3cd1c5b48c320816c782122c42838c9,2018-05-11,664,395.6149244494736
23,a025915055b523283574df53d1fd15afd3cd1c5b48c320816c782122c42838c9,2018-05-12,632,371.18024273589253
24,a025915055b523283574df53d1fd15afd3cd1c5b48c320816c782122c42838c9,2018-05-13,645,390.89631041511893
25,a025915055b523283574df53d1fd15afd3cd1c5b48c320816c782122c42838c9,2018-05-14,110,74.76992202550173
26,a025915055b523283574df53d1fd15afd3cd1c5b48c320816c782122c42838c9,2018-05-15,485,300.9319497719407
